date,momentum_v1,mean_reversion_v2,breakout_v3,optimized_winner,defensive_filter
2024-01-02,0.000250,0.001650,0.000350,0.004550,0.001380
2024-01-03,0.003889,0.001071,0.000904,0.005994,0.001371
2024-01-04,0.000792,0.000355,0.001452,0.007264,0.001343
2024-01-05,-0.000610,-0.000451,0.001986,0.008278,0.001297
2024-01-08,0.001516,-0.002804,0.003442,0.009153,0.001058
2024-01-09,0.002073,-0.003350,0.003858,0.008615,0.000949
2024-01-10,0.006715,-0.003683,0.004232,0.007666,0.000828
2024-01-11,0.005430,-0.003770,0.004557,0.006343,0.000697
2024-01-12,0.001347,-0.003596,0.004831,0.004708,0.000558
2024-01-15,0.003235,-0.001694,0.005310,-0.001229,0.000115
2024-01-16,0.000227,-0.000756,0.005349,-0.003219,-0.000034
2024-01-17,0.003721,0.000223,0.005327,-0.005045,-0.000179
2024-01-18,0.004717,0.001169,0.005243,-0.006613,-0.000319
2024-01-19,-0.000293,0.002013,0.005099,-0.007845,-0.000452
2024-01-22,0.001075,0.003433,0.004326,-0.009043,-0.000781
2024-01-23,-0.003882,0.003460,0.003965,-0.008564,-0.000863
2024-01-24,-0.002639,0.003275,0.003560,-0.007683,-0.000929
2024-01-25,0.000655,0.002914,0.003115,-0.006458,-0.000978
2024-01-26,-0.002655,0.002422,0.002636,-0.004963,-0.001008
2024-01-29,-0.000839,0.000715,0.001056,0.000231,-0.000987
2024-01-30,-0.005121,0.000234,0.000502,0.001877,-0.000944
2024-01-31,-0.006188,-0.000145,-0.000053,0.003332,-0.000882
2024-02-01,-0.001575,-0.000410,-0.000603,0.004523,-0.000805
2024-02-02,-0.019395,-0.000565,-0.010141,0.000898,-0.003411
2024-02-05,0.000785,-0.000588,-0.002621,0.005918,-0.000355
2024-02-06,-0.000922,-0.000560,-0.003048,0.005433,-0.000217
2024-02-07,-0.003862,-0.000568,-0.003434,0.004692,-0.000073
2024-02-08,-0.000011,-0.000637,-0.003773,0.003763,0.000075
2024-02-09,0.003392,-0.000777,-0.004061,0.002725,0.000225
2024-02-12,0.003998,-0.001522,-0.004589,-0.000216,0.000661
2024-02-13,0.005145,-0.001781,-0.004645,-0.000887,0.000795
2024-02-14,0.001101,-0.001978,-0.004639,-0.001309,0.000918
2024-02-15,0.002030,-0.002070,-0.004572,-0.001450,0.001030
2024-02-16,0.006678,-0.002020,-0.004445,-0.001299,0.001129
2024-02-19,0.003963,-0.000851,0.002283,0.000690,0.001332
2024-02-20,0.007053,-0.000150,0.002631,0.001699,0.001365
2024-02-21,0.003271,0.000648,0.003024,0.002763,0.001379
2024-02-22,0.000583,0.001487,0.003459,0.003798,0.001375
2024-02-23,0.004266,0.002301,0.003929,0.004722,0.001352
2024-02-26,-0.000769,0.003955,0.005494,0.006093,0.001176
2024-02-27,0.003059,0.004073,0.006045,0.005912,0.001085
2024-02-28,0.015360,0.003931,0.013601,0.008872,0.003079
2024-02-29,-0.003516,0.003535,0.007153,0.004486,0.000862
2024-03-01,-0.002026,0.002910,0.007695,0.003284,0.000733
2024-03-04,-0.005868,0.000198,0.003197,-0.001584,0.000305
2024-03-05,-0.002423,-0.000756,0.003635,-0.003347,0.000155
2024-03-06,-0.000790,-0.001616,0.004033,-0.005020,0.000005
2024-03-07,-0.005251,-0.002322,0.004385,-0.006507,-0.000141
2024-03-08,-0.006095,-0.002830,0.004687,-0.007721,-0.000283
2024-03-11,-0.005870,-0.003008,0.005263,-0.009079,-0.000656
2024-03-12,-0.003997,-0.002666,0.005335,-0.008660,-0.000757
2024-03-13,0.000479,-0.002188,0.005347,-0.007808,-0.000843
2024-03-14,-0.001531,-0.001628,0.005297,-0.006563,-0.000913
2024-03-15,-0.004307,-0.001041,0.005186,-0.004984,-0.000966
2024-03-18,-0.000503,0.000404,0.004503,0.000897,-0.001017
2024-03-19,-0.001292,0.000683,0.004169,0.002907,-0.000996
2024-03-20,0.003754,0.000851,0.003788,0.004770,-0.000957
2024-03-21,0.004637,0.000922,0.003364,0.006396,-0.000900
2024-03-22,0.000655,0.000925,0.002903,0.007706,-0.000827
2024-03-25,0.004872,0.000864,0.001356,0.009262,-0.000518
2024-03-26,0.001243,0.000925,0.000807,0.008945,-0.000391
2024-03-27,0.004208,0.001056,0.000252,0.008247,-0.000255
2024-03-28,0.007153,0.001256,-0.000302,0.007223,-0.000112
2024-03-29,0.003261,0.001510,-0.000848,0.005945,0.000036
2024-04-01,0.005270,0.002259,-0.002370,0.001459,0.000482
2024-04-02,0.000240,0.002366,-0.002819,0.000051,0.000624
2024-04-03,-0.000172,0.002335,-0.003228,-0.001174,0.000760
2024-04-04,0.003633,0.002140,-0.003593,-0.002151,0.000886
2024-04-05,0.001642,0.001769,-0.003910,-0.002835,0.001002
